"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.333333750E-1,8.951086121E0,-6.264922028E0,1.875449982E0
9.433293750E-1,8.815168762E0,-6.120921478E0,2.320474548E0
9.533243750E-1,8.773405609E0,-6.466552734E0,2.480192413E0
9.633203750E-1,8.035290527E0,-6.816974030E0,1.963017883E0
9.733163750E-1,7.322173462E0,-6.656208344E0,1.134041748E0
9.833113750E-1,7.077582092E0,-6.390361176E0,9.680369568E-1
9.933073750E-1,7.623347168E0,-6.259682922E0,7.945477295E-1
1.003302375E0,8.145311737E0,-6.059249725E0,6.499484253E-1
1.013298375E0,8.550668793E0,-5.883215790E0,1.059347076E0
1.023294375E0,8.672216034E0,-5.942642212E0,1.056053925E0
1.033289375E0,8.573571167E0,-6.008205872E0,8.324189758E-1
1.043285375E0,8.361611938E0,-6.017486572E0,4.092489624E-1
1.053280375E0,8.211623840E0,-6.182443542E0,7.214996338E-2
1.063276375E0,7.702382813E0,-6.279441833E0,-1.047821045E-3
1.073272375E0,7.309000854E0,-6.331832886E0,2.204914856E-1
1.083267375E0,7.378606110E0,-6.399941254E0,7.065307617E-1
1.093263375E0,7.551795959E0,-6.420149231E0,9.261241150E-1
1.103259375E0,7.480095062E0,-6.491401062E0,1.162632294E0
1.113254375E0,7.324568481E0,-6.554420013E0,1.383123779E0
1.123250375E0,7.228468323E0,-6.494394836E0,1.501078491E0
1.133245375E0,7.113657074E0,-6.416107635E0,1.783241730E0
1.143241375E0,6.924899597E0,-6.545139313E0,1.541793823E0
1.153237375E0,6.916666718E0,-6.508764954E0,1.304237823E0
1.163232375E0,6.872658234E0,-6.443800049E0,1.286873932E0
1.173228375E0,6.612648926E0,-6.734196167E0,1.198108521E0
1.183224375E0,6.899452515E0,-6.649921417E0,8.315208435E-1
1.193219375E0,7.245233459E0,-6.762337646E0,4.698728943E-1
1.203215375E0,7.149881744E0,-6.708000641E0,7.517367554E-1
1.213210375E0,6.913223877E0,-6.564149780E0,1.068927155E0
1.223206375E0,6.748715973E0,-6.602320404E0,1.178798676E0
1.233202375E0,6.916816406E0,-6.365662537E0,1.193617859E0
1.243197375E0,7.408244476E0,-6.357279968E0,8.325686646E-1
1.253193375E0,7.499404907E0,-6.397396545E0,6.236032104E-1
1.263189375E0,7.448061676E0,-6.387367401E0,4.775070190E-1
1.273184375E0,7.472460938E0,-6.586154022E0,1.487905884E-1
1.283180375E0,7.494614868E0,-6.658902740E0,1.124162292E-1
1.293175375E0,7.220834198E0,-6.573580170E0,3.659889221E-1
1.303171375E0,6.910379791E0,-6.569538574E0,5.632786560E-1
1.313167375E0,6.983128510E0,-6.717431030E0,6.415658569E-1
1.323162375E0,7.272776184E0,-6.882687378E0,6.978488159E-1
1.333158375E0,7.476801910E0,-6.911876678E0,7.538323975E-1
1.343153375E0,7.409142609E0,-6.816974030E0,7.861651611E-1
1.353149375E0,7.291636963E0,-6.753955078E0,7.664062500E-1
1.363145375E0,7.120842133E0,-6.792574768E0,6.459068298E-1
1.373140375E0,7.040908356E0,-6.774911499E0,7.030879211E-1
1.383136375E0,6.958429871E0,-6.932384033E0,7.361691284E-1
1.393132375E0,6.932533722E0,-7.002438354E0,7.551795959E-1
1.403127375E0,7.031627655E0,-6.880292358E0,6.801855469E-1
1.413123375E0,7.298822021E0,-6.965016174E0,6.653663635E-1
1.423118375E0,7.339986420E0,-6.987469482E0,6.351292419E-1
1.433114375E0,7.048093414E0,-6.856641541E0,7.229965210E-1
