"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.751708326e-3,-1.476738140e0,3.878232147e0,6.487690419e-1,4.200278728e0
1.380470833e-2,-8.781830862e-1,4.054139491e0,2.695417312e0,4.946971501e0
2.385670833e-2,-4.863828000e-1,2.434295279e0,4.806069204e0,5.409312611e0
3.390870833e-2,-2.261145482e0,-9.504558411e-1,5.587028005e0,6.101723291e0
4.396170833e-2,-3.192035955e0,-2.773477641e0,5.475024589e0,6.917887395e0
5.401370833e-2,-3.524673821e0,-2.709621076e0,4.057840778e0,6.019256075e0
6.406570833e-2,-3.971590547e0,-1.546761910e0,2.150300108e0,4.773865774e0
7.411770833e-2,-4.549264463e0,-4.917063975e-1,6.372050035e-1,4.619914777e0
8.417070833e-2,-4.322724617e0,-6.266925868e-1,-7.673102295e-1,4.434800639e0
9.422270833e-2,-3.881207211e0,-1.412207830e0,-1.622705839e0,4.437485167e0
1.042747083e-1,-3.389068412e0,-2.112034759e0,-2.304473058e0,4.610539187e0
1.143267083e-1,-2.430765899e0,-2.326798312e0,-2.735235681e0,4.336372617e0
1.243797083e-1,-7.845986921e-1,-2.105678836e0,-2.725313541e0,3.532253156e0
1.344317083e-1,5.222721326e-1,-1.982525364e0,-2.489478377e0,3.225008153e0
1.444837083e-1,1.409541207e0,-2.081040423e0,-2.417199774e0,3.487175133e0
1.545357083e-1,2.423304268e0,-2.457783544e0,-1.203774472e0,3.655431097e0
1.645887083e-1,2.920876007e0,-1.984274559e0,5.192537999e-1,3.569101663e0
1.746407083e-1,8.128170624e-1,-1.618745520e0,-4.769532877e-1,1.873097188e0
1.846927083e-1,2.548760372e-1,-1.423366656e0,2.214691401e-2,1.446175964e0
1.947447083e-1,-1.313816732e-1,-1.532105864e0,1.847076952e-1,1.548782249e0
2.047977083e-1,-5.382961348e-1,-2.135525948e0,-1.145761907e-1,2.205303042e0
2.148497083e-1,-2.225327486e-1,-2.901223223e0,-4.355778050e-1,2.942166725e0
2.249017083e-1,1.110257614e-1,-3.410818300e0,-8.226143646e-1,3.510370719e0
2.349537083e-1,9.458827338e-1,-3.524074189e0,-1.225264744e0,3.849034519e0
2.450067083e-1,1.836935834e0,-2.973348336e0,-1.636342131e0,3.859112482e0
2.550587083e-1,2.108572330e0,-2.112599015e0,-1.932645691e0,3.555878406e0
2.651107083e-1,2.419330500e0,-1.655980589e0,-2.228846340e0,3.682823345e0
2.751627083e-1,2.390487647e0,-1.164183560e0,-2.630055966e0,3.739912958e0
2.852157083e-1,2.317285769e0,-6.205568111e-1,-2.998256305e0,3.839849601e0
2.952677083e-1,2.254265356e0,-2.122761476e-1,-2.961937494e0,3.728249881e0
3.053197083e-1,2.336654379e0,1.506254447e-1,-3.313478531e0,4.057312126e0
3.153717083e-1,1.562677154e0,-8.736775142e-1,-3.115562561e0,3.593327477e0
3.254247083e-1,3.627007404e-1,-1.885982571e0,-2.453843690e0,3.116060163e0
3.354767083e-1,3.880109981e-1,-1.545613225e0,-1.795509188e0,2.400692821e0
3.455287083e-1,1.027965947e0,-1.012692727e0,-8.643985677e-1,1.682095548e0
3.555807083e-1,1.223396559e0,-1.014708847e0,-8.644172788e-2,1.591793126e0
