"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.011219583e-1,1.125874065e-2,-9.807809633e-1,-1.172276106e0,1.528492501e0
6.111739583e-1,-3.223438427e-2,-8.059006834e-1,-1.522860539e0,1.723258306e0
6.212269583e-1,-1.308121179e-1,-5.737516040e-1,-2.015627037e0,2.099775003e0
6.312789583e-1,-4.727459237e-2,-4.126757231e-1,-2.516018888e0,2.550075918e0
6.413309583e-1,-3.227107555e-2,-2.577402958e-1,-2.782721504e0,2.794818501e0
6.513829583e-1,-4.015297607e-2,-1.343245769e-1,-2.864360329e0,2.867789296e0
6.614359583e-1,8.015889466e-2,-1.559101582e-2,-2.697279065e0,2.698514940e0
6.714879583e-1,1.634251824e-1,-3.570280641e-2,-2.382428722e0,2.388294181e0
6.815399583e-1,2.928395234e-1,-3.772886664e-2,-2.024651629e0,2.046067612e0
6.915919583e-1,4.555681197e-1,-7.789748400e-2,-1.770268512e0,1.829606771e0
7.016449583e-1,4.842042006e-1,-9.026960760e-2,-1.588662180e0,1.663264811e0
7.116969583e-1,2.034003666e-1,4.479347259e-2,-1.302553241e0,1.319099355e0
7.217489583e-1,-7.971436009e-3,2.357649976e-1,-9.082538545e-1,9.383889077e-1
7.318009583e-1,-1.359527341e-1,3.899896958e-1,-8.117601782e-1,9.107852083e-1
7.418529583e-1,-1.516228335e-1,3.798801523e-1,-7.061600482e-1,8.160639849e-1
7.519059583e-1,-7.295106847e-2,4.622668362e-1,-2.077942568e-1,5.120458372e-1
7.619579583e-1,-8.475677960e-2,4.887167162e-1,3.940730989e-1,6.334992878e-1
7.720099583e-1,-2.392670778e-1,4.692595214e-1,9.235454929e-1,1.063197776e0
7.820619583e-1,-3.029641235e-1,5.120263490e-1,1.347066339e0,1.472598372e0
7.921149583e-1,-3.189770890e-1,5.536143780e-1,1.602185621e0,1.724886670e0
8.021669583e-1,-3.207523402e-1,5.729286084e-1,1.643317274e0,1.769638641e0
8.122189583e-1,-2.973792285e-1,5.682207227e-1,1.482071532e0,1.614882417e0
8.222709583e-1,-3.245858844e-1,5.440959880e-1,1.441778954e0,1.574840624e0
8.323239583e-1,-4.110976693e-1,4.845733792e-1,1.730182925e0,1.843188978e0
8.423759583e-1,-5.240306827e-1,5.312288976e-1,2.146135721e0,2.272159948e0
8.524279583e-1,-4.501284550e-1,4.304079893e-1,2.374208706e0,2.454533284e0
8.624799583e-1,-1.724315391e-1,3.893242827e-1,2.375933050e0,2.413786215e0
8.725319583e-1,2.352220105e-1,4.761843789e-1,2.153821886e0,2.218339395e0
8.825849583e-1,4.628293383e-1,5.495148951e-1,1.773934717e0,1.913902295e0
8.926369583e-1,4.942613384e-1,7.514642751e-1,1.276794502e0,1.561792889e0
9.026889583e-1,1.500932749e-1,1.071887015e0,5.796409196e-1,1.227783922e0
9.127409583e-1,-4.087871785e-1,1.531916707e0,-1.787727714e-2,1.585621440e0
9.227939583e-1,-8.574548529e-1,1.738872473e0,-2.442463839e-1,1.954114274e0
9.328459583e-1,-1.031190175e0,1.451782078e0,8.025888205e-2,1.782544773e0
9.428979583e-1,-9.984521992e-1,9.970230666e-1,1.515137537e0,2.070411443e0
9.529499583e-1,-9.752647001e-1,4.085531437e-1,3.446731313e0,3.605275808e0
9.630019583e-1,-7.929793601e-1,-2.462005234e-1,4.526526688e0,4.602051153e0
9.730549583e-1,-6.777504008e-1,-8.095078307e-1,4.674296352e0,4.792044963e0
