"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.734033750E-1,3.837805390E-1,-1.279646873E0,1.738281965E0
7.833993750E-1,3.101625144E-1,-1.524867773E0,1.752626061E0
7.933953750E-1,3.170830011E-1,-1.755503416E0,1.591581464E0
8.033903750E-1,3.846370280E-1,-1.789187312E0,1.371524453E0
8.133863750E-1,4.601821005E-1,-1.856823564E0,1.339262724E0
8.233813750E-1,4.908190966E-1,-1.958734989E0,1.329228640E0
8.333773750E-1,6.982192993E-1,-1.686130047E0,1.410288692E0
8.433733750E-1,7.101449370E-1,-1.263820410E0,1.283708692E0
8.533683750E-1,6.803020239E-1,-9.206960201E-1,1.381342649E0
8.633643750E-1,6.598425508E-1,-7.317758799E-1,1.578148365E0
8.733593750E-1,5.830809474E-1,-7.151893377E-1,1.621607661E0
8.833553750E-1,4.836121798E-1,-6.403744817E-1,1.617643237E0
8.933513750E-1,3.405628204E-1,-5.327687860E-1,1.515889168E0
9.033463750E-1,1.445562840E-1,-4.530228078E-1,1.313531280E0
9.133423750E-1,-6.665354595E-3,-5.026253462E-1,1.043779492E0
9.233373750E-1,-3.818919137E-2,-6.662920117E-1,7.549824715E-1
9.333333750E-1,3.546472639E-2,-8.477559090E-1,4.122318327E-1
9.433293750E-1,1.700941771E-1,-9.384855628E-1,2.021643668E-1
9.533243750E-1,3.012367487E-1,-8.912317753E-1,1.371592581E-1
9.633203750E-1,3.490034640E-1,-8.266426325E-1,2.140484452E-1
9.733163750E-1,2.748548388E-1,-5.379802585E-1,3.679963350E-1
9.833113750E-1,1.446531713E-1,-3.120813668E-1,4.686824381E-1
9.933073750E-1,4.409923404E-2,-2.129009552E-2,4.364030063E-1
1.003302375E0,-2.776589990E-2,1.499197483E-1,3.282408416E-1
1.013298375E0,-6.053228676E-2,1.862366796E-1,1.959143430E-1
1.023294375E0,-8.019068092E-2,1.631324291E-1,7.648116350E-2
1.033289375E0,-1.474950016E-1,1.217606068E-1,-5.273555964E-2
1.043285375E0,-2.762772143E-1,1.290083975E-1,-1.659470797E-1
1.053280375E0,-4.281854331E-1,2.150183320E-1,-2.287480086E-1
1.063276375E0,-5.822956562E-1,3.425581753E-1,-2.083793581E-1
1.073272375E0,-6.956205368E-1,3.982352316E-1,-1.311012357E-1
1.083267375E0,-7.052382827E-1,4.277241528E-1,-9.907726198E-2
1.093263375E0,-6.731340289E-1,4.907518029E-1,-1.219183728E-1
1.103259375E0,-6.391816139E-1,5.220857263E-1,-1.553405076E-1
1.113254375E0,-5.756320953E-1,5.381532907E-1,-1.705522090E-1
1.123250375E0,-4.850704670E-1,4.583916366E-1,-1.421285570E-1
1.133245375E0,-3.654204607E-1,2.857785821E-1,-1.038322076E-1
1.143241375E0,-3.200684190E-1,2.866614163E-1,4.711849615E-3
1.153237375E0,-1.894801110E-1,2.564329468E-2,6.240937114E-2
1.163232375E0,-1.720687747E-2,-3.828696311E-1,-1.545641106E-3
1.173228375E0,6.588365417E-3,-6.141240001E-1,-4.667985812E-2
1.183224375E0,-3.088177927E-2,-5.182811022E-1,-1.578079909E-2
1.193219375E0,-7.266937196E-2,-2.762641907E-1,5.604975298E-2
1.203215375E0,-1.207242459E-1,-1.562277973E-1,1.070016176E-1
1.213210375E0,-1.221753806E-1,-1.545817107E-1,1.364292353E-1
1.223206375E0,-1.074326560E-1,-1.811472774E-1,2.182676345E-1
1.233202375E0,-9.533831477E-2,-1.914115548E-1,1.651498079E-1
1.243197375E0,-8.511844277E-2,-1.861739159E-1,-1.968635619E-2
1.253193375E0,-1.033143401E-1,-2.522014976E-1,-1.548721194E-1
1.263189375E0,-1.928676665E-1,-1.990218759E-1,-1.737411469E-1
1.273184375E0,-3.253764510E-1,-1.699778438E-2,-1.019911990E-1
1.283180375E0,-4.297299981E-1,6.922658533E-2,3.255860880E-3
1.293175375E0,-4.549881220E-1,1.405091491E-2,3.984710202E-2
1.303171375E0,-4.671465158E-1,-6.921334565E-2,4.614920914E-2
1.313167375E0,-4.741400778E-1,-1.030170545E-1,4.406148195E-2
1.323162375E0,-4.495641589E-1,-5.772440881E-2,-1.456933748E-2
1.333158375E0,-4.149322808E-1,1.765738241E-2,-1.132994816E-1
1.343153375E0,-3.948091567E-1,1.034836024E-1,-1.871561408E-1
1.353149375E0,-3.686696291E-1,2.193020284E-1,-2.280312777E-1
1.363145375E0,-3.438638747E-1,3.127038777E-1,-2.374586016E-1
1.373140375E0,-3.242253959E-1,3.166183233E-1,-1.960319877E-1
1.383136375E0,-2.973373234E-1,2.478214055E-1,-1.830037981E-1
1.393132375E0,-2.735921443E-1,1.133618951E-1,-1.892126352E-1
1.403127375E0,-2.621267140E-1,-4.175977409E-2,-2.363508642E-1
1.413123375E0,-2.393136173E-1,-1.518140733E-1,-2.791245580E-1
1.423118375E0,-2.008115053E-1,-2.064831704E-1,-2.947021723E-1
1.433114375E0,-1.579966545E-1,-2.354896665E-1,-2.917976677E-1
1.443110375E0,-1.140571535E-1,-2.106562257E-1,-2.430897951E-1
1.453105375E0,-8.122951537E-2,-1.242611110E-1,-1.871645898E-1
1.463101375E0,-6.135674939E-2,-2.129078284E-2,-1.240743101E-1
1.473097375E0,-5.545535311E-2,9.143638611E-2,-5.827529356E-2
1.483092375E0,-6.221791729E-2,1.830808222E-1,2.034386154E-3
1.493088375E0,-5.523270741E-2,2.347522676E-1,4.972627386E-2
1.503083375E0,-2.182974480E-2,2.105502635E-1,7.539941370E-2
1.513079375E0,2.650106326E-2,1.446585804E-1,1.030560210E-1
1.523075375E0,6.200845912E-2,6.877074391E-2,1.274050474E-1
1.533070375E0,8.639746159E-2,-1.132663060E-2,1.250285655E-1
1.543066375E0,9.814386070E-2,-8.877188712E-2,1.006137654E-1
1.553062375E0,1.177248135E-1,-1.301353425E-1,6.276375800E-2
1.563057375E0,1.387352943E-1,-1.666001379E-1,2.443161327E-3
1.573053375E0,1.511328369E-1,-1.741441935E-1,-3.646358103E-2
1.583049375E0,1.410834044E-1,-1.442872286E-1,-5.684315413E-2
1.593044375E0,1.147445217E-1,-9.197519720E-2,-7.187563926E-2
1.603040375E0,9.713304043E-2,2.837225050E-2,-7.709863037E-2
1.613035375E0,7.663236558E-2,2.123382092E-1,-2.833713964E-2
1.623031375E0,4.304563999E-2,3.863411546E-1,7.802631706E-2
1.633027375E0,3.015080467E-2,5.063945055E-1,1.886666119E-1
1.643022375E0,2.627297491E-2,5.784769654E-1,2.534778416E-1
1.653018375E0,2.106916718E-2,4.946576655E-1,2.280040085E-1
1.663014375E0,6.388293952E-2,3.832158446E-1,1.249279752E-1
1.673009375E0,1.722149104E-1,2.453863919E-1,6.989010144E-3
1.683005375E0,2.989059985E-1,1.623399705E-1,-5.663231015E-2
1.693000375E0,3.862840235E-1,1.671384424E-1,-4.727671295E-2
1.702996375E0,4.158030450E-1,2.084161043E-1,1.064384356E-2
1.712992375E0,3.942777216E-1,2.038999498E-1,8.244702220E-2
1.722987375E0,3.559279144E-1,1.061848402E-1,9.003490210E-2
1.732983375E0,3.477117717E-1,-7.304545492E-2,7.680601627E-2
1.742979375E0,3.500633240E-1,-2.690658271E-1,4.178731143E-2
1.752974333E0,3.564127684E-1,-3.556562066E-1,1.684384979E-2
1.762970333E0,3.528681099E-1,-3.333644867E-1,-5.515251774E-3
1.772966333E0,3.412843645E-1,-3.066302836E-1,-3.376587480E-2
1.782961333E0,3.101043403E-1,-2.459315360E-1,-5.061596259E-2
1.792957333E0,2.612450123E-1,-1.607069671E-1,-3.251966462E-2
1.802952333E0,1.988399625E-1,-8.661168814E-2,2.979739569E-3
1.812948333E0,1.456159502E-1,-5.699020624E-2,5.815167725E-2
1.822944333E0,9.599886835E-2,-6.160600483E-2,1.112841368E-1
1.832939333E0,5.065894127E-2,-6.823745370E-2,1.088710278E-1
1.842935333E0,5.393862724E-2,-8.343078941E-2,7.765558362E-2
1.852931333E0,1.046187803E-1,-1.212635040E-1,1.977143437E-2
1.862926333E0,1.584713608E-1,-1.875258684E-1,-4.342857376E-2
1.872922333E0,1.949686855E-1,-2.142993063E-1,-6.650154293E-2
1.882917333E0,1.809969395E-1,-1.742530912E-1,-4.971776903E-2
1.892913333E0,1.105877012E-1,-1.222220808E-1,-2.972478606E-2
1.902909333E0,1.789212227E-2,-5.358922854E-2,-3.158500418E-2
1.912904333E0,-6.632050127E-2,3.793602064E-2,-4.785256833E-2
1.922900333E0,-1.240274683E-1,1.036585718E-1,-6.842681766E-2
1.932896333E0,-1.342487633E-1,1.259358376E-1,-8.585874736E-2
1.942891333E0,-1.151922494E-1,1.260450333E-1,-6.321308762E-2
1.952887333E0,-9.893884510E-2,8.449300379E-2,-3.092902713E-2
1.962883333E0,-8.001708984E-2,1.337621640E-2,-1.366535295E-2
1.972878333E0,-4.972931370E-2,-6.262212992E-2,-9.972426109E-3
1.982874333E0,-3.325766325E-2,-1.249760464E-1,-2.385947853E-2
1.992869333E0,-1.184376329E-2,-1.418720484E-1,-3.252220154E-2
2.002865333E0,3.764224006E-3,-1.313533485E-1,-2.681531385E-2
2.012861333E0,-1.537617762E-3,-9.733744711E-2,8.619338274E-3
2.022856333E0,-6.908414420E-3,-6.600295752E-2,5.319506302E-2
2.032852333E0,-1.535942778E-3,-2.835803293E-2,7.738449425E-2
2.042848333E0,2.511857077E-2,8.541928604E-3,6.912922859E-2
2.052843333E0,5.684622377E-2,6.585683674E-2,4.422026873E-2
2.062839333E0,7.014232129E-2,1.043206081E-1,2.078631520E-2
2.072835333E0,6.936528534E-2,1.169222668E-1,6.718777586E-3
2.082830333E0,5.879199877E-2,1.142029092E-1,5.133131985E-3
2.092826333E0,3.854694963E-2,8.887636662E-2,1.246908680E-3
2.102821333E0,1.507171895E-2,6.644136459E-2,-6.042546593E-4
2.112817333E0,-4.510540981E-3,4.541904852E-2,-2.799360082E-3
2.122813333E0,-6.396059413E-3,2.612657659E-2,-5.392479710E-3
2.132808333E0,-5.145743024E-3,2.140227333E-2,-8.499450982E-3
2.142804333E0,-1.225238852E-2,1.726265438E-2,-4.644792061E-3
2.152800333E0,-1.850598492E-2,5.050568655E-2,-2.950361231E-3
2.162795333E0,-3.343167156E-2,8.359359950E-2,-1.137953252E-2
2.172791333E0,-5.104767159E-2,1.145131737E-1,-3.146713600E-2
