"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.086902125E1,-8.063098416E-3,1.659674048E-1,-8.906599879E-2
1.087901725E1,4.205212891E-1,8.466454223E-3,-9.892688692E-2
1.088901325E1,8.034643531E-1,-1.712854356E-1,-1.019079238E-1
1.089900825E1,1.079898119E0,-3.693772256E-1,-9.853929281E-2
1.090900425E1,1.237024188E0,-5.515986085E-1,-1.018055156E-1
1.091899925E1,1.288989425E0,-6.904121637E-1,-1.175964624E-1
1.092899525E1,1.239844084E0,-7.793525457E-1,-1.543271989E-1
1.093899125E1,1.127734780E0,-8.085436821E-1,-1.959223151E-1
1.094898725E1,9.851925373E-1,-8.010597825E-1,-2.339534312E-1
1.095898225E1,8.324387074E-1,-7.429317832E-1,-2.760076821E-1
1.096897825E1,6.826181412E-1,-6.419562697E-1,-3.101642728E-1
1.097897425E1,5.425598621E-1,-5.035107732E-1,-3.342943788E-1
1.098896925E1,4.123114944E-1,-3.443028927E-1,-3.489564955E-1
1.099896525E1,3.021908402E-1,-2.177611887E-1,-3.526516259E-1
1.100896125E1,2.157782018E-1,-1.232317761E-1,-3.359818161E-1
1.101895625E1,1.758411825E-1,-7.854739577E-2,-3.089656234E-1
1.102895225E1,1.898439676E-1,-1.040381640E-1,-2.820402980E-1
1.103894825E1,2.548346817E-1,-1.738097817E-1,-2.477393299E-1
1.104894325E1,3.628453910E-1,-2.689471543E-1,-2.238888741E-1
1.105893925E1,4.872991741E-1,-3.752075434E-1,-1.972993463E-1
1.106893525E1,6.188558936E-1,-4.696092606E-1,-1.770266891E-1
1.107893025E1,7.351806164E-1,-5.239270926E-1,-1.722457707E-1
1.108892625E1,8.420269489E-1,-5.610246658E-1,-1.758019030E-1
1.109892225E1,9.238469601E-1,-6.052474976E-1,-1.737070531E-1
1.110891725E1,9.764748216E-1,-6.380650997E-1,-1.626517177E-1
1.111891325E1,1.002582669E0,-6.576177478E-1,-1.408944875E-1
1.112890925E1,9.925062656E-1,-6.727738976E-1,-1.199555621E-1
1.113890425E1,9.503663182E-1,-6.826867461E-1,-9.599404037E-2
1.114890025E1,8.988054991E-1,-6.916809678E-1,-8.707460761E-2
1.115889625E1,8.477841616E-1,-6.994334459E-1,-7.891441882E-2
1.116889125E1,8.050882816E-1,-7.087525725E-1,-8.307395130E-2
1.117888725E1,7.820013762E-1,-7.171218395E-1,-8.865327388E-2
1.118888325E1,7.728992105E-1,-7.084416747E-1,-8.948472142E-2
1.119887825E1,7.753698230E-1,-6.882754564E-1,-8.150589466E-2
1.120887425E1,7.744872570E-1,-6.775760651E-1,-8.021509647E-2
1.121887025E1,7.476748228E-1,-6.528752446E-1,-9.201955795E-2
1.122886525E1,6.858798265E-1,-6.186461449E-1,-1.002612412E-1
1.123886125E1,5.754206777E-1,-5.912185311E-1,-9.697409719E-2
1.124885725E1,4.336289465E-1,-5.767377615E-1,-8.519861102E-2
1.125885325E1,3.073045611E-1,-5.722000003E-1,-7.988107949E-2
1.126884825E1,2.188136578E-1,-5.549601316E-1,-6.770974398E-2
1.127884425E1,1.752877533E-1,-5.258073211E-1,-6.268808246E-2
1.128884025E1,2.131548673E-1,-4.958468080E-1,-8.723442256E-2
1.129883525E1,3.467070758E-1,-4.877233803E-1,-1.383106560E-1
1.130883125E1,5.218447447E-1,-5.231937170E-1,-1.973414272E-1
1.131882725E1,7.017143965E-1,-5.712789297E-1,-2.153736949E-1
1.132882225E1,8.462566733E-1,-6.341474056E-1,-1.605933309E-1
1.133881825E1,9.241189957E-1,-7.189507484E-1,-5.294276029E-2
1.134881425E1,9.565491676E-1,-8.165379167E-1,8.113656193E-2
1.135880925E1,9.797279835E-1,-9.202613831E-1,2.243778706E-1
1.136880525E1,1.035903692E0,-1.045923591E0,3.908045888E-1
1.137880125E1,1.146217942E0,-1.206466675E0,5.700491667E-1
1.138879625E1,1.314027905E0,-1.405202866E0,7.189627886E-1
1.139879225E1,1.551377296E0,-1.632108688E0,8.252069354E-1
1.140878825E1,1.849309444E0,-1.894239783E0,8.685734272E-1
1.141878325E1,2.197556257E0,-2.149223328E0,8.404778838E-1
1.142877925E1,2.582344055E0,-2.391446829E0,7.612602711E-1
1.143877525E1,2.955905914E0,-2.578971863E0,6.484397054E-1
1.144877025E1,3.224611521E0,-2.714323521E0,5.475552082E-1
1.145876625E1,3.309630632E0,-2.802251816E0,4.986726344E-1
1.146876225E1,3.234385490E0,-2.833825350E0,5.218230486E-1
1.147875725E1,3.056628704E0,-2.817823887E0,5.789353251E-1
1.148875325E1,2.827741385E0,-2.766377926E0,6.326444149E-1
1.149874925E1,2.612992048E0,-2.680036306E0,6.446637511E-1
1.150874425E1,2.458836794E0,-2.582075357E0,5.991203189E-1
1.151874025E1,2.360728741E0,-2.481581211E0,5.139814615E-1
1.152873625E1,2.309751511E0,-2.376207590E0,4.196313322E-1
1.153873125E1,2.285662651E0,-2.294823647E0,3.230637908E-1
1.154872725E1,2.269806862E0,-2.251351595E0,2.636240125E-1
1.155872325E1,2.253735781E0,-2.243383169E0,2.603983879E-1
1.156871825E1,2.237227201E0,-2.262670755E0,2.996990085E-1
1.157871425E1,2.215657473E0,-2.299446583E0,3.360348940E-1
1.158871025E1,2.191535950E0,-2.339282274E0,3.629513383E-1
1.159870625E1,2.156213522E0,-2.377660990E0,3.691514432E-1
1.160870125E1,2.108814001E0,-2.398372889E0,3.543093204E-1
1.161869725E1,2.048762798E0,-2.425900936E0,3.278753161E-1
1.162869325E1,1.971913218E0,-2.454813004E0,3.029440045E-1
1.163868825E1,1.882095098E0,-2.470953226E0,2.816382051E-1
1.164868425E1,1.782093883E0,-2.480946779E0,2.707003653E-1
1.165868025E1,1.690575957E0,-2.457632542E0,2.621476352E-1
1.166867525E1,1.623157144E0,-2.381398201E0,2.578320801E-1
1.167867125E1,1.564344645E0,-2.265109301E0,2.464169860E-1
1.168866725E1,1.482339025E0,-2.092323065E0,2.217212766E-1
1.169866225E1,1.331729770E0,-1.909094930E0,1.617902964E-1
1.170865825E1,1.112469792E0,-1.731719851E0,7.139364630E-2
1.171865425E1,8.651815057E-1,-1.565647602E0,-1.906035468E-2
1.172864925E1,6.318997741E-1,-1.400512815E0,-1.058873609E-1
1.173864525E1,4.410153329E-1,-1.226426244E0,-1.984527111E-1
1.174864125E1,3.188982606E-1,-1.048384547E0,-2.891916335E-1
1.175863625E1,2.558902502E-1,-8.991723657E-1,-3.840739429E-1
1.176863246E1,2.150749266E-1,-7.729088664E-1,-4.718787372E-1
1.177862846E1,1.634143889E-1,-6.579273939E-1,-5.508902073E-1
1.178862346E1,1.117358655E-1,-5.987993479E-1,-5.976625681E-1
1.179861946E1,9.324740618E-2,-5.357779860E-1,-6.001893878E-1
1.180861546E1,1.133074164E-1,-4.613638520E-1,-5.755835176E-1
1.181861046E1,1.433191001E-1,-4.170120955E-1,-5.280388594E-1
1.182860646E1,1.745628715E-1,-3.697887063E-1,-4.779798090E-1
1.183860246E1,1.705729216E-1,-3.337287009E-1,-4.507295489E-1
1.184859746E1,1.175865158E-1,-2.905617058E-1,-4.287076890E-1
1.185859346E1,3.748822212E-2,-2.352150828E-1,-3.997436762E-1
1.186858946E1,-1.494135242E-2,-1.492646635E-1,-3.765406013E-1
1.187858546E1,-1.594376564E-2,-4.845071584E-2,-3.627030849E-1
1.188858046E1,2.831026167E-2,3.249220550E-2,-3.667866588E-1
1.189857646E1,1.095289513E-1,8.284778148E-2,-3.692407608E-1
1.190857246E1,2.314632237E-1,1.138396189E-1,-3.446196616E-1
1.191856746E1,3.465780914E-1,9.663426876E-2,-3.076275587E-1
1.192856346E1,4.147819281E-1,1.677164063E-2,-2.458637357E-1
1.193855946E1,4.435853362E-1,-1.154724211E-1,-1.373055726E-1
1.194855446E1,4.473558366E-1,-2.493817657E-1,-1.310954057E-2
1.195855046E1,4.476852715E-1,-3.397960663E-1,8.510331064E-2
1.196854646E1,4.491262138E-1,-3.692226112E-1,1.213154942E-1
1.197854146E1,4.549888968E-1,-3.329074979E-1,1.013886482E-1
1.198853746E1,4.434484839E-1,-2.594289482E-1,6.657493860E-2
1.199853346E1,4.339561760E-1,-1.750778407E-1,4.536259174E-2
1.200852846E1,4.036819041E-1,-1.153362244E-1,3.359115869E-2
1.201852446E1,3.056861162E-1,-6.567732990E-2,1.880715042E-2
1.202852046E1,1.706625670E-1,-2.285054885E-2,-1.941060182E-3
1.203851546E1,5.968038365E-2,-6.352583878E-4,-1.852909103E-2
1.204851146E1,1.388484240E-2,3.983499855E-2,-3.785847500E-2
1.205850746E1,3.841628507E-2,8.229457587E-2,-4.098263010E-2
1.206850246E1,1.185229123E-1,1.242543757E-1,-3.143574297E-2
1.207849846E1,2.305573076E-1,1.417910308E-1,1.467795763E-2
1.208849446E1,3.587146103E-1,1.245232821E-1,9.483948350E-2
1.209848946E1,4.637699425E-1,6.656091660E-2,1.727574468E-1
1.210848546E1,5.158410668E-1,-1.361287106E-2,2.295573056E-1
1.211848146E1,5.012527704E-1,-1.031912193E-1,2.451815456E-1
1.212847646E1,4.373880625E-1,-1.694626361E-1,2.255127281E-1
1.213847246E1,3.530856967E-1,-2.101474702E-1,1.704875678E-1
1.214846846E1,2.813275158E-1,-2.048383951E-1,9.970968217E-2
1.215846446E1,2.493330836E-1,-1.775167584E-1,3.957816586E-2
1.216845946E1,2.563498318E-1,-1.331255138E-1,1.643474586E-2
1.217845546E1,2.638876140E-1,-9.596190602E-2,4.273532331E-2
1.218845146E1,2.414846271E-1,-6.346122921E-2,9.393108636E-2
1.219844646E1,1.804316491E-1,-2.467762120E-2,1.386828423E-1
1.220844246E1,6.219914183E-2,2.001761831E-2,1.680953950E-1
1.221843846E1,-8.473811299E-2,6.784719974E-2,1.691441387E-1
1.222843346E1,-2.349027246E-1,1.103218570E-1,1.424865872E-1
1.223842946E1,-3.384837210E-1,1.155573651E-1,1.051943451E-1
1.224842546E1,-3.863587081E-1,9.719590843E-2,6.971499324E-2
1.225842046E1,-3.902493119E-1,7.301414013E-2,5.654752627E-2
1.226841646E1,-3.625692129E-1,5.310458317E-2,6.467521936E-2
1.227841246E1,-3.106088042E-1,4.530232027E-2,9.337157756E-2
1.228840746E1,-2.409433573E-1,5.284156650E-2,1.303607374E-1
1.229840346E1,-1.459231079E-1,9.555228055E-2,1.634023190E-1
1.230839946E1,-4.436372221E-2,1.733900905E-1,1.944502443E-1
1.231839446E1,2.548060566E-2,2.462528497E-1,2.290502936E-1
1.232839046E1,4.119591787E-2,2.683581412E-1,2.583557367E-1
1.233838646E1,2.656264976E-2,2.251933664E-1,2.763608396E-1
1.234838146E1,9.948936291E-3,1.378860623E-1,2.870889008E-1
1.235837746E1,3.245317936E-2,2.691320516E-2,3.023791909E-1
1.236837346E1,1.072608083E-1,-9.478364885E-2,3.308587968E-1
1.237836946E1,2.479476184E-1,-2.015726864E-1,3.723383248E-1
1.238836446E1,4.166248441E-1,-3.003571928E-1,4.004456997E-1
1.239836046E1,5.671246052E-1,-3.904348910E-1,4.148089290E-1
1.240835646E1,6.706591845E-1,-4.529476762E-1,4.133738279E-1
1.241835146E1,7.239202857E-1,-4.808293581E-1,3.857597709E-1
1.242834746E1,7.404338717E-1,-4.655589759E-1,3.356857002E-1
1.243834346E1,7.594783902E-1,-4.357584715E-1,2.581685483E-1
1.244833846E1,8.023492694E-1,-3.839853108E-1,1.412888914E-1
1.245833446E1,8.610868454E-1,-3.029685020E-1,-2.168944804E-3
1.246833046E1,9.128859639E-1,-2.297755629E-1,-1.316229701E-1
1.247832546E1,9.190487862E-1,-1.795158535E-1,-2.171093673E-1
1.248832146E1,8.681287766E-1,-1.369347721E-1,-2.499296516E-1
1.249831746E1,7.864847779E-1,-1.087084636E-1,-2.383097410E-1
1.250831246E1,7.060834169E-1,-1.001754254E-1,-1.927625090E-1
1.251830846E1,6.512883306E-1,-1.164518669E-1,-1.398526877E-1
1.252830446E1,6.021745205E-1,-1.644494534E-1,-8.746474236E-2
1.253829946E1,5.529670119E-1,-2.154761553E-1,-4.985265061E-2
1.254829546E1,5.231589079E-1,-2.459110916E-1,-2.794026956E-2
1.255829146E1,5.287659168E-1,-2.681255937E-1,-2.573703602E-2
1.256828646E1,5.539474487E-1,-2.597035766E-1,-2.614054829E-2
1.257828246E1,5.556289554E-1,-2.269959599E-1,-2.856429107E-2
1.258827846E1,5.414944887E-1,-2.032638490E-1,-1.790613495E-2
1.259827446E1,5.092728734E-1,-2.086615413E-1,-3.161542816E-3
1.260826946E1,4.647080898E-1,-2.258948684E-1,2.179648727E-2
1.261826546E1,4.453453124E-1,-2.352689356E-1,6.602307409E-2
1.262826146E1,4.678287506E-1,-2.449375242E-1,1.202586591E-1
1.263825646E1,5.298892260E-1,-2.804451883E-1,1.665166914E-1
1.264825246E1,6.218765974E-1,-3.148418963E-1,2.044230253E-1
1.265824846E1,7.243030667E-1,-3.576277196E-1,2.219058871E-1
1.266824346E1,7.910615206E-1,-4.236184061E-1,2.200353891E-1
1.267823946E1,7.973948121E-1,-4.827333689E-1,2.223912328E-1
1.268823546E1,7.572001815E-1,-5.361771584E-1,2.388156205E-1
1.269823046E1,6.913902760E-1,-5.764835477E-1,2.526377141E-1
1.270822646E1,6.163333654E-1,-5.960240960E-1,2.483031005E-1
1.271822246E1,5.488736629E-1,-5.792086124E-1,2.133206278E-1
1.272821746E1,5.110322237E-1,-4.936403036E-1,1.471706480E-1
1.273821346E1,4.723763764E-1,-3.883498311E-1,6.863456964E-2
1.274820946E1,4.005449414E-1,-3.290440738E-1,-1.416716725E-2
1.275820446E1,3.128899038E-1,-3.062878847E-1,-5.186394602E-2
1.276819950E1,2.427253127E-1,-3.608465493E-1,-2.771984041E-2
1.277819550E1,2.012116909E-1,-4.187814891E-1,3.368306533E-2
1.278819050E1,1.727940738E-1,-4.598113000E-1,7.738822699E-2
1.279818650E1,1.248923168E-1,-4.685406089E-1,6.425537914E-2
1.280818250E1,4.159699008E-2,-4.008665383E-1,-1.816614531E-2
1.281817850E1,-1.282868534E-1,-2.446508259E-1,-1.481212229E-1
1.282817350E1,-4.197063446E-1,-3.698982671E-2,-2.755568027E-1
1.283816950E1,-8.242703676E-1,1.643105298E-1,-3.676965833E-1
1.284816550E1,-1.246377230E0,3.146944940E-1,-3.916086555E-1
1.285816050E1,-1.570929408E0,4.396502674E-1,-3.190172911E-1
1.286815650E1,-1.733727217E0,5.016615391E-1,-1.864751279E-1
1.287815250E1,-1.705590129E0,4.789125621E-1,-3.487895057E-2
1.288814750E1,-1.505537152E0,4.086156785E-1,7.508742809E-2
1.289814350E1,-1.207334757E0,3.536248803E-1,9.104561806E-2
1.290813950E1,-9.282343388E-1,3.452315927E-1,-2.380889840E-3
1.291813450E1,-7.394732237E-1,3.991014957E-1,-1.796118617E-1
1.292813050E1,-6.615018845E-1,5.169470906E-1,-3.864160776E-1
1.293812650E1,-6.844045520E-1,6.798270941E-1,-5.162238479E-1
1.294812150E1,-7.547333837E-1,8.808060288E-1,-5.580446124E-1
1.295811750E1,-8.153634667E-1,1.070069551E0,-5.226402879E-1
1.296811350E1,-8.537759781E-1,1.189150214E0,-4.081133604E-1
1.297810850E1,-8.814438581E-1,1.182402015E0,-2.346630096E-1
1.298810450E1,-9.117981195E-1,1.042687416E0,-3.692017496E-2
1.299810050E1,-9.113968015E-1,8.589455485E-1,1.497698128E-1
1.300809550E1,-8.563891053E-1,6.907622218E-1,2.543625832E-1
1.301809150E1,-7.683868408E-1,5.448489785E-1,2.775645554E-1
1.302808750E1,-6.828628778E-1,4.385169148E-1,2.535063028E-1
1.303808250E1,-6.166154146E-1,3.850560784E-1,2.117362320E-1
1.304807850E1,-5.619435906E-1,3.780696392E-1,1.625495851E-1
1.305807450E1,-5.192454457E-1,4.113799334E-1,1.345696151E-1
1.306807050E1,-4.924412966E-1,4.713740945E-1,1.510003060E-1
1.307806550E1,-4.718097746E-1,5.441369414E-1,2.082468271E-1
1.308806150E1,-4.291363657E-1,6.027433872E-1,2.803419828E-1
1.309805750E1,-3.616329730E-1,6.234867573E-1,3.295183182E-1
1.310805250E1,-2.822058797E-1,5.844529867E-1,3.497818708E-1
1.311804850E1,-2.007533610E-1,5.156523585E-1,3.489213884E-1
1.312804450E1,-1.194513291E-1,4.314801097E-1,3.284394443E-1
1.313803950E1,-5.088878423E-2,3.243304789E-1,3.162610829E-1
1.314803550E1,-1.019132324E-3,2.153730541E-1,3.164444268E-1
1.315803150E1,2.766231447E-2,1.177101508E-1,3.152454495E-1
1.316802650E1,1.936506480E-3,4.276477173E-2,2.869902849E-1
1.317802250E1,-9.394527972E-2,6.122577470E-4,2.523430884E-1
1.318801850E1,-2.465803772E-1,-3.932160325E-3,2.177273184E-1
1.319801350E1,-4.210680127E-1,3.007534146E-2,1.962297559E-1
1.320800950E1,-5.800285935E-1,7.708902657E-2,2.052256316E-1
1.321800550E1,-6.917998791E-1,1.329038292E-1,2.387737334E-1
1.322800050E1,-7.462414503E-1,1.967705637E-1,2.942488194E-1
1.323799650E1,-7.460915446E-1,2.582669258E-1,3.427798748E-1
1.324799250E1,-6.712877154E-1,3.394137323E-1,3.493876159E-1
1.325798750E1,-5.638054609E-1,3.899498880E-1,3.137883544E-1
1.326798350E1,-4.680866003E-1,3.824738264E-1,2.515595555E-1
1.327797950E1,-3.625527024E-1,3.543758988E-1,1.922823638E-1
1.328797550E1,-2.457242608E-1,3.069207072E-1,1.531443447E-1
1.329797050E1,-1.030265018E-1,2.564341128E-1,1.244719625E-1
1.330796650E1,5.109994859E-2,2.130688876E-1,1.143694296E-1
1.331796250E1,1.950177103E-1,2.042002976E-1,1.150767654E-1
1.332795750E1,2.856362462E-1,1.774768680E-1,1.063802317E-1
1.333795350E1,3.184482455E-1,1.319317669E-1,8.707444370E-2
1.334794950E1,3.265100121E-1,9.054417163E-2,6.506259739E-2
1.335794450E1,3.510640860E-1,3.806605190E-2,5.002532527E-2
1.336794050E1,4.027798474E-1,-3.942451999E-2,4.646879062E-2
1.337793650E1,5.002986789E-1,-1.423274577E-1,5.485615134E-2
1.338793150E1,6.243036985E-1,-2.262806892E-1,5.725752562E-2
1.339792750E1,7.508823872E-1,-3.072242737E-1,3.354207426E-2
1.340792350E1,8.545367122E-1,-3.995525241E-1,-3.610674664E-2
1.341791850E1,9.302014112E-1,-4.897460639E-1,-1.333166659E-1
1.342791450E1,9.805897474E-1,-5.623403788E-1,-2.315798998E-1
1.343791050E1,1.007349253E0,-6.076335311E-1,-3.121162653E-1
1.344790650E1,1.019392014E0,-6.315961480E-1,-3.732845187E-1
1.345790150E1,1.027486444E0,-6.410034895E-1,-4.041734636E-1
1.346789750E1,9.973984957E-1,-6.213302016E-1,-4.063752890E-1
1.347789350E1,9.165276289E-1,-5.910394192E-1,-3.914253712E-1
1.348788850E1,7.862907648E-1,-5.580772758E-1,-3.800671697E-1
1.349788450E1,6.204684973E-1,-4.936466217E-1,-3.829545677E-1
1.350788050E1,4.268946648E-1,-4.078897238E-1,-4.013070464E-1
1.351787550E1,2.556693852E-1,-3.023641109E-1,-4.251543283E-1
1.352787150E1,1.423687935E-1,-2.025403529E-1,-4.423684180E-1
1.353786750E1,1.074203849E-1,-1.108285487E-1,-4.225840569E-1
1.354786250E1,1.529957652E-1,-4.741331190E-2,-3.845731318E-1
1.355785850E1,2.549639344E-1,1.646234281E-2,-3.386456072E-1
1.356785450E1,3.903337121E-1,6.007508188E-2,-2.938532829E-1
1.357784950E1,5.148796439E-1,4.223083705E-2,-2.388494313E-1
1.358784550E1,5.731349587E-1,-1.891013235E-2,-1.846726239E-1
1.359784150E1,5.625006557E-1,-1.173301786E-1,-1.225381419E-1
1.360783650E1,5.170344114E-1,-2.286210060E-1,-5.849790573E-2
1.361783250E1,4.796473384E-1,-3.430788815E-1,-3.234650008E-3
1.362782850E1,4.838491976E-1,-4.211548865E-1,3.356651962E-2
1.363782450E1,5.250921845E-1,-4.668658972E-1,5.013510957E-2
1.364781950E1,5.604473948E-1,-5.001825690E-1,5.622135848E-2
1.365781550E1,5.501899719E-1,-5.173671842E-1,5.770367384E-2
1.366781150E1,4.881155789E-1,-5.294042230E-1,7.693068683E-2
1.367780650E1,4.045216143E-1,-5.109746456E-1,1.001185626E-1
1.368780250E1,3.263475597E-1,-4.509301484E-1,1.124587432E-1
1.369779850E1,2.768729627E-1,-3.811212480E-1,1.163538769E-1
1.370779350E1,2.511606514E-1,-3.150588572E-1,1.291445643E-1
1.371778950E1,2.241873592E-1,-2.818319201E-1,1.279386878E-1
1.372778550E1,1.628390402E-1,-2.918972373E-1,1.122266874E-1
1.373778050E1,5.489447713E-2,-3.160547614E-1,1.082652360E-1
1.374777650E1,-7.045986503E-2,-3.507548571E-1,1.328506917E-1
1.375777250E1,-1.756888032E-1,-3.815263510E-1,1.495511085E-1
1.376776413E1,-2.255815715E-1,-3.811443150E-1,1.577016264E-1
1.377776013E1,-2.365852147E-1,-3.287237287E-1,1.561367512E-1
1.378775612E1,-2.421684712E-1,-2.460343093E-1,1.444907784E-1
1.379775112E1,-3.042552769E-1,-1.675008833E-1,1.192535982E-1
1.380774712E1,-4.412355423E-1,-9.710737318E-2,8.227512985E-2
1.381774313E1,-6.438382268E-1,1.374457404E-2,4.111357778E-2
1.382773913E1,-9.084371924E-1,1.628754884E-1,1.208398212E-2
1.383773413E1,-1.194002151E0,3.139057457E-1,-1.044236589E-2
1.384773012E1,-1.447834849E0,4.524962306E-1,-1.786771044E-2
1.385772612E1,-1.624424577E0,5.875839591E-1,1.747323573E-2
1.386772112E1,-1.702625513E0,7.022250295E-1,8.290930092E-2
1.387771713E1,-1.684432626E0,7.773929834E-1,1.695789397E-1
1.388771313E1,-1.560789347E0,8.018091917E-1,2.482325137E-1
1.389770813E1,-1.335690379E0,7.628098726E-1,2.938663363E-1
1.390770413E1,-1.045986414E0,6.929151416E-1,2.823124230E-1
1.391770012E1,-7.371569276E-1,6.186241508E-1,2.281064391E-1
1.392769512E1,-4.638143778E-1,5.602305532E-1,1.517690271E-1
1.393769113E1,-2.527519166E-1,5.007397532E-1,5.618977547E-2
1.394768713E1,-1.187225804E-1,4.745533466E-1,-2.822123282E-2
1.395768213E1,-8.200771362E-2,4.768881202E-1,-8.538119495E-2
1.396767813E1,-1.150947660E-1,4.844858348E-1,-9.464376420E-2
1.397767412E1,-1.851915568E-1,5.028299689E-1,-7.085187733E-2
1.398767012E1,-2.698726952E-1,5.087026954E-1,-9.767260402E-3
1.399766512E1,-3.498005271E-1,5.057350993E-1,5.752016604E-2
1.400766113E1,-3.952842355E-1,5.035824776E-1,1.061323285E-1
1.401765713E1,-3.900766969E-1,5.050137043E-1,1.069834754E-1
1.402765213E1,-3.401701152E-1,5.079897642E-1,7.400634885E-2
1.403764812E1,-2.660490274E-1,4.894440770E-1,3.244932368E-2
1.404764412E1,-1.948617846E-1,4.371652305E-1,3.182927147E-2
1.405763912E1,-1.512999386E-1,3.780342638E-1,6.199356914E-2
1.406763513E1,-1.373185664E-1,3.043886125E-1,1.223422065E-1
1.407763113E1,-1.284004301E-1,2.314478308E-1,1.724871248E-1
1.408762613E1,-1.138703898E-1,1.940965354E-1,1.917691976E-1
1.409762213E1,-9.731884301E-2,1.786374301E-1,1.882559508E-1
1.410761812E1,-7.955246419E-2,1.630707532E-1,1.888409406E-1
1.411761412E1,-6.697089225E-2,1.425180733E-1,1.992445737E-1
1.412760913E1,-4.807185009E-2,1.209340245E-1,2.173501849E-1
1.413760513E1,-3.794837743E-2,5.908183753E-2,2.365379930E-1
1.414760113E1,-1.710688323E-2,-4.081738368E-2,2.503204346E-1
1.415759613E1,-9.137639776E-3,-1.446332633E-1,2.575376034E-1
1.416759212E1,-2.548219636E-2,-2.202532291E-1,2.375441045E-1
1.417758812E1,-6.208761036E-2,-2.579036653E-1,1.939646602E-1
1.418758312E1,-1.247520149E-1,-2.600623071E-1,1.579974145E-1
1.419757913E1,-1.940344125E-1,-2.279062420E-1,1.379012018E-1
1.420757513E1,-2.623528540E-1,-1.866660714E-1,1.422974914E-1
1.421757013E1,-3.063320518E-1,-1.658918113E-1,1.756698191E-1
1.422756612E1,-3.093701005E-1,-1.799180657E-1,2.398424447E-1
1.423756212E1,-2.638372481E-1,-2.060950696E-1,3.381362557E-1
1.424755712E1,-1.793358475E-1,-2.347453833E-1,4.453309774E-1
1.425755313E1,-3.947940841E-2,-2.386700809E-1,5.271486044E-1
1.426754913E1,1.261414289E-1,-2.486181557E-1,5.576929450E-1
1.427754513E1,3.019039333E-1,-2.572753131E-1,5.263451338E-1
1.428754012E1,4.792291820E-1,-2.361593395E-1,4.389665425E-1
1.429753612E1,6.489580274E-1,-2.076035887E-1,3.088498116E-1
1.430753212E1,7.992116213E-1,-1.705315709E-1,1.800041199E-1
1.431752713E1,8.832072020E-1,-1.490481198E-1,7.633285224E-2
1.432752313E1,8.844603300E-1,-1.808534712E-1,1.606080122E-2
1.433751913E1,7.957823873E-1,-2.435820997E-1,-1.408458501E-2
1.434751413E1,6.431241632E-1,-2.992399633E-1,-2.276454493E-2
1.435751012E1,4.608488977E-1,-3.304902911E-1,-2.689404227E-2
1.436750612E1,3.143672049E-1,-3.293529451E-1,-7.422874123E-2
1.437750112E1,2.351629138E-1,-2.555623353E-1,-1.788656712E-1
1.438749713E1,2.207205445E-1,-1.444275230E-1,-3.233620524E-1
1.439749313E1,2.447001785E-1,-2.863993682E-2,-4.701405764E-1
1.440748813E1,2.850522697E-1,6.319523603E-2,-5.795003772E-1
1.441748412E1,3.461907208E-1,1.608141959E-1,-6.480533481E-1
1.442748012E1,4.257909954E-1,2.257231772E-1,-6.661705971E-1
1.443747613E1,5.147816539E-1,2.344287783E-1,-6.361610293E-1
1.444747113E1,6.070707440E-1,1.757187545E-1,-5.583550930E-1
1.445746713E1,6.735491157E-1,6.213306636E-2,-4.539144039E-1
1.446746313E1,6.734180450E-1,-7.455111295E-2,-3.480839729E-1
1.447745812E1,6.018764973E-1,-2.009085119E-1,-2.683731616E-1
1.448745412E1,4.762612283E-1,-3.092335165E-1,-2.169136256E-1
1.449745012E1,3.598310053E-1,-3.907619417E-1,-1.928317249E-1
1.450744513E1,3.124816716E-1,-3.914579749E-1,-1.868643463E-1
1.451744113E1,3.538767993E-1,-3.413889408E-1,-1.877370626E-1
1.452743713E1,4.535983205E-1,-3.004476130E-1,-1.621140242E-1
1.453743213E1,5.652523637E-1,-2.805215716E-1,-9.472513199E-2
1.454742812E1,6.574569345E-1,-2.830329537E-1,-2.116909483E-3
1.455742412E1,6.728388071E-1,-3.212868571E-1,7.268010080E-2
1.456742013E1,6.207016110E-1,-3.857516944E-1,1.279729158E-1
1.457741513E1,5.487669706E-1,-4.315436780E-1,1.712668538E-1
1.458741113E1,5.073919296E-1,-4.594975710E-1,1.905059218E-1
1.459740713E1,5.224694610E-1,-4.659424126E-1,1.826599836E-1
1.460740212E1,5.926429033E-1,-4.914889038E-1,1.831820905E-1
1.461739812E1,6.595625281E-1,-5.522084236E-1,2.125538290E-1
1.462739413E1,6.870291233E-1,-6.165989041E-1,2.537958622E-1
1.463738913E1,6.456502676E-1,-6.490351558E-1,2.733639777E-1
1.464738513E1,5.470179319E-1,-6.353588104E-1,2.701543868E-1
1.465738113E1,4.099756181E-1,-5.722975731E-1,2.424641848E-1
1.466737612E1,2.625007033E-1,-4.782322347E-1,2.068263441E-1
1.467737212E1,1.260169148E-1,-3.722807765E-1,1.772399545E-1
1.468736812E1,2.543776296E-2,-2.825683057E-1,1.649212390E-1
1.469736413E1,-5.467731506E-2,-2.266576439E-1,1.612514108E-1
1.470735913E1,-1.468348056E-1,-2.031491697E-1,1.638746858E-1
1.471735513E1,-2.425826341E-1,-2.137759924E-1,1.591614187E-1
